,regime_state,regime_label,P_Bull,P_Neutral,P_Bear
2008-04-17,2,Bear,3.7879144562462754e-06,0.00021935473351753247,0.9997768573519961
2008-04-18,2,Bear,3.085561113094555e-08,1.122341424992763e-06,0.9999988468032198
2008-04-21,2,Bear,1.5934883307020155e-06,6.801547623342966e-07,0.9999977263567797
2008-04-22,2,Bear,0.0008630334182436983,0.0005000006677695171,0.9986369659140563
2008-04-23,2,Bear,0.05351438778512116,0.020945046047911434,0.9255405661676985
2008-04-24,2,Bear,0.08060290743630989,0.09309832161090974,0.826298770952973
2008-04-25,0,Bull,0.27496305164846796,0.14788054199227,0.5771564063599849
2008-04-28,1,Neutral,0.21333460260998677,0.3271890459173787,0.4594763514727401
2008-04-29,0,Bull,0.37824324659470493,0.2370347419938815,0.3847220114120178
2008-04-30,1,Neutral,0.286941161618609,0.42393150557129633,0.28912733281010133
2008-05-01,0,Bull,0.5358173630078811,0.33438660691885935,0.12979603007324036
2008-05-02,1,Neutral,0.3773274540552831,0.5790682871152514,0.04360425882900202
2008-05-05,0,Bull,0.5905875896758866,0.391331788941991,0.01808062138243182
2008-05-06,1,Neutral,0.38539090474987775,0.6044992311696007,0.01010986408086244
2008-05-07,0,Bull,0.6017072048733351,0.39364032866032306,0.004652466466632377
2008-05-08,1,Neutral,0.38340778360267846,0.6147766498402137,0.0018155665570289078
2008-05-09,0,Bull,0.6082930421393156,0.3909998505793246,0.0007071072820309248
2008-05-12,1,Neutral,0.3787922463400302,0.6210873967058794,0.00012035695436953401
2008-05-13,0,Bull,0.6147785733731896,0.38517961383844257,4.181278851508228e-05
2008-05-14,1,Neutral,0.3720912975388034,0.6278657696083204,4.2932853133972763e-05
2008-05-15,0,Bull,0.6224245175191307,0.37753479213064656,4.06903497832218e-05
2008-05-16,1,Neutral,0.3644819962089604,0.6354088559344218,0.00010914785581644998
2008-05-19,0,Bull,0.6304672810188604,0.36944440914971793,8.830983119561144e-05
2008-05-20,1,Neutral,0.3556070037481641,0.6441452538742203,0.0002477423772326259
2008-05-21,0,Bull,0.63793989493878,0.3606335998984956,0.0014265051625890763
2008-05-22,1,Neutral,0.3404252705306588,0.6528843288553662,0.006690400613138119
2008-05-23,0,Bull,0.6322001596253594,0.34507626459062357,0.02272357578407795
2008-05-26,1,Neutral,0.32488841589951567,0.64841106299226,0.02670052110828517
2008-05-27,0,Bull,0.6461578959895936,0.3301232717567765,0.023718832253597374
2008-05-28,1,Neutral,0.3143199493052845,0.6629120187091913,0.022768031984931925
2008-05-29,0,Bull,0.6563819059131514,0.3179448190728745,0.025673275014211006
2008-05-30,1,Neutral,0.27771583337405736,0.6718682978638885,0.05041586876221904
2008-06-02,0,Bull,0.6089966651328734,0.2794641136584425,0.11153922120907157
2008-06-03,1,Neutral,0.1696714580550896,0.6236109464680116,0.20671759547613097
2008-06-04,0,Bull,0.49072517807054783,0.16928383838853264,0.3399909835403122
2008-06-05,1,Neutral,0.02083638015484504,0.5026819470958959,0.47648167274861375
2008-06-06,2,Bear,0.0009053378526432082,0.01432084895704464,0.9847738131909511
2008-06-09,2,Bear,8.736294778909437e-05,0.0008172782648446578,0.9990953587879011
2008-06-10,2,Bear,1.5584957498673883e-06,8.397916051472998e-05,0.9999144623440066
2008-06-11,2,Bear,3.6037282413244834e-08,1.709878411616739e-06,0.9999982540845629
2008-06-12,2,Bear,3.247412597984527e-07,3.6332512538888485e-07,0.999999311932934
2008-06-13,2,Bear,7.892300634405444e-05,7.402665502683271e-05,0.99984705033792
2008-06-16,2,Bear,0.00011826333068250455,0.00015103108437381825,0.9997307055847757
2008-06-17,2,Bear,3.549314908436624e-05,0.0001820192250455806,0.9997824876260142
2008-06-18,2,Bear,1.8274860251044954e-05,4.7858391370875705e-05,0.9999338667480714
2008-06-19,2,Bear,3.633327146240131e-06,4.6522007414304196e-05,0.9999498446659242
2008-06-20,2,Bear,4.503337054677617e-07,6.232887741028116e-06,0.9999933167787778
2008-06-23,2,Bear,7.535924173100354e-07,4.825543220306406e-06,0.9999944208640156
2008-06-24,2,Bear,9.302322644653745e-06,8.572918919301691e-06,0.9999821247580825
2008-06-25,2,Bear,1.5987017476127056e-06,6.814067554530384e-05,0.9999302606228467
2008-06-26,2,Bear,1.2912802948674343e-08,3.980711066376022e-07,0.9999995890157997
2008-06-27,2,Bear,9.252150032392464e-08,2.088020083941524e-06,0.999997819457907
2008-06-30,2,Bear,9.9075948507581e-08,1.3671246641257875e-06,0.9999985337992091
2008-07-01,2,Bear,6.085586009600643e-08,3.021226998526969e-06,0.9999969179163802
2008-07-02,2,Bear,4.325206844752629e-10,1.4687967714884751e-08,0.9999999848787412
2008-07-03,2,Bear,3.198675838106554e-08,8.600061564194644e-07,0.9999991080061931
2008-07-04,2,Bear,2.1130166197122445e-08,8.715637607712875e-07,0.9999991073058828
2008-07-07,2,Bear,2.7359639111322823e-08,1.8737411196294101e-07,0.999999785266505
2008-07-08,2,Bear,2.1927998910167892e-07,6.997397579046474e-06,0.9999927833220059
2008-07-09,2,Bear,1.1813095622349681e-08,5.2162661798008e-07,0.9999994665596718
2008-07-10,2,Bear,4.8962565699332e-09,2.3030658122238372e-07,0.9999997647974218
2008-07-11,2,Bear,2.3747512341042955e-10,1.2636665959143737e-08,0.9999999871251931
2008-07-14,2,Bear,3.894915284579327e-11,2.1332855801391913e-09,0.9999999978281267
2008-07-15,2,Bear,5.530879242469017e-12,2.851069128966163e-10,0.9999999997089617
2008-07-16,2,Bear,8.174655804950171e-09,3.0050736729381335e-07,0.9999996913175458
2008-07-17,2,Bear,6.199842888192656e-09,2.2050037006535872e-07,0.9999997732993763
2008-07-18,2,Bear,6.907134701168008e-09,2.2390727069635145e-07,0.9999997691848233
2008-07-21,2,Bear,6.255159561567068e-09,2.3168433218280687e-07,0.9999997620598434
2008-07-22,2,Bear,5.824909047557887e-10,8.476355683620183e-09,0.9999999909414328
2008-07-23,2,Bear,1.855812225391979e-07,1.2592404865705784e-06,0.9999985551777605
2008-07-24,2,Bear,8.580946163350421e-07,4.75757409451834e-06,0.9999943843316369
2008-07-25,2,Bear,4.934831505004141e-07,8.488742216253483e-06,0.9999910177742592
2008-07-28,2,Bear,8.690599414622812e-07,2.1416856540938458e-06,0.9999969892551083
2008-07-29,2,Bear,2.3932144175923086e-05,2.655728796220687e-05,0.999949510567126
2008-07-30,2,Bear,3.787242709934076e-06,6.741896228917141e-05,0.999928793794945
2008-07-31,2,Bear,7.655768079774195e-07,4.9477136967488235e-06,0.9999942867088476
2008-08-01,2,Bear,4.818031760793697e-07,9.872991249086724e-06,0.999989645205411
2008-08-04,2,Bear,5.481021437012552e-07,1.5097938856485582e-06,0.9999979421048266
2008-08-05,2,Bear,2.9683135380697477e-05,2.0153529233804037e-05,0.9999501633351157
2008-08-06,2,Bear,0.00013215109807905633,0.00013463802376247305,0.999733210878385
2008-08-07,2,Bear,8.97283953255437e-06,0.00018371276853796473,0.9998073143922876
2008-08-08,2,Bear,2.539266474706246e-07,1.0381984715489938e-05,0.9999893640890061
2008-08-11,2,Bear,5.866434393969572e-07,4.48230031661522e-07,0.9999989651265321
2008-08-12,2,Bear,0.00019497668662257084,0.00010889521836320994,0.9996961280955586
2008-08-13,2,Bear,0.00035233307727977517,0.000404870248773465,0.9992427966731016
2008-08-14,2,Bear,0.001137875238055761,0.0007048252304011129,0.99815729953206
2008-08-15,2,Bear,0.0042442093685943144,0.003180459644539142,0.9925753309874088
2008-08-18,2,Bear,0.00442061351894218,0.005071102394124931,0.9905082840866947
2008-08-19,2,Bear,0.007352418345516768,0.006162311394549854,0.9864852702594316
2008-08-20,2,Bear,0.012321784472384904,0.010471076758596072,0.977207138769356
2008-08-21,2,Bear,0.014175185784496242,0.015072888005881902,0.9707519262090943
2008-08-22,2,Bear,0.01613711891739561,0.015537090919846076,0.9683257901623681
2008-08-25,2,Bear,0.010315297924483784,0.016672052681753223,0.9730126493940143
2008-08-26,2,Bear,0.01255771891894961,0.010678867993373713,0.9767634130874658
2008-08-27,2,Bear,0.0068028862004505305,0.013013621424193307,0.9801834923761443
2008-08-28,2,Bear,0.006200763006418736,0.006949420595839008,0.9868498163970033
2008-08-29,2,Bear,0.0021755646631079215,0.006361715063517446,0.9914627202726866
2008-09-01,2,Bear,0.000448849183538363,0.0022061257780734626,0.9973450250382091
