phase,variant,asset,arch,model,rule,annualized_sharpe,total_return,max_drawdown,n_trades,win_rate
P5.1,baseline,btc,2stage_trend,mlp,stateful,0.8712728451124142,13.75734476903507,-0.5095553876139057,167,0.4850299401197604
P5.1,baseline,btc,2stage_trend,mlp,defensive,0.8106625309887955,9.214994410609265,-0.530630830165215,213,0.5070422535211268
P5.1,baseline,btc,2stage_trend,mlp,prob_weighted,0.6967527571974894,2.2094927970865688,-0.3172110935437939,194,0.5412371134020618
P5.1,baseline,btc,2stage_macro,xgboost,stateful,0.9326863258057508,13.514117213514924,-0.6709287396225089,251,0.5617529880478087
P5.1,baseline,btc,2stage_macro,xgboost,defensive,0.7029406459062033,4.835822426642214,-0.6766778145308736,365,0.5260273972602739
P5.1,baseline,btc,2stage_macro,xgboost,prob_weighted,0.8757757194694575,3.559185802893023,-0.39095080947817,312,0.5608974358974359
P5.1,baseline,btc,2stage_macro,lightgbm,stateful,0.9515837880727664,15.04841051369613,-0.5511614725629037,217,0.5806451612903226
P5.1,baseline,btc,2stage_macro,lightgbm,defensive,0.7577849142979514,5.976215376024319,-0.5254844944068,324,0.5401234567901234
P5.1,baseline,btc,2stage_macro,lightgbm,prob_weighted,0.8328306250702266,2.242848609989778,-0.2250012468378115,288,0.5798611111111112
P5.1,baseline,btc,2stage_macro,random_forest,stateful,0.9773402632769288,16.058619909320896,-0.5314385626799722,185,0.5621621621621622
P5.1,baseline,btc,2stage_macro,random_forest,defensive,0.9429476581394254,11.585642302295414,-0.4207629767690503,253,0.5573122529644269
P5.1,baseline,btc,2stage_macro,random_forest,prob_weighted,0.831250832687765,0.6373133638145168,-0.1029158190861652,242,0.5495867768595041
P5.1,baseline,btc,2stage_macro,mlp,stateful,0.7072191028387754,6.06496141997722,-0.7143829887560005,242,0.512396694214876
P5.1,baseline,btc,2stage_macro,mlp,defensive,0.7356254031390863,6.350421293044959,-0.6671947791203793,297,0.5218855218855218
P5.1,baseline,btc,2stage_macro,mlp,prob_weighted,0.7587423197132818,4.7640221576872515,-0.5199972232236958,279,0.5483870967741935
P5.1,baseline,btc,3stage_full,xgboost,stateful,1.1470791622327978,29.013821360472036,-0.4599444471123002,179,0.5921787709497207
P5.1,baseline,btc,3stage_full,xgboost,defensive,0.9848283631728988,13.09211763213003,-0.3560776617217354,248,0.5967741935483871
P5.1,baseline,btc,3stage_full,xgboost,prob_weighted,0.8226775617595915,2.1329378688800262,-0.2547651726136795,219,0.5844748858447488
P5.1,baseline,btc,3stage_full,lightgbm,stateful,1.0927716653310473,25.18939631156961,-0.4307741045812655,207,0.5893719806763285
P5.1,baseline,btc,3stage_full,lightgbm,defensive,0.9611142002638946,13.239640089321458,-0.4437450873747874,271,0.6014760147601476
P5.1,baseline,btc,3stage_full,lightgbm,prob_weighted,0.8508158092275935,3.7625779363930114,-0.3135671346847122,244,0.6147540983606558
P5.1,baseline,btc,3stage_full,random_forest,stateful,1.0679913216469574,21.862729988687313,-0.5183157559847753,176,0.5681818181818182
P5.1,baseline,btc,3stage_full,random_forest,defensive,0.8829669764819967,9.375253521422916,-0.4311526580469976,222,0.5225225225225225
P5.1,baseline,btc,3stage_full,random_forest,prob_weighted,0.8245530099125318,0.9056613097950575,-0.1251683485746901,202,0.5693069306930693
P5.1,baseline,btc,3stage_full,mlp,stateful,0.8958060287954286,11.91263603452084,-0.5506091668668001,195,0.5538461538461539
P5.1,baseline,btc,3stage_full,mlp,defensive,0.8996176296881436,10.8423467315583,-0.4941351846664664,236,0.5550847457627118
P5.1,baseline,btc,3stage_full,mlp,prob_weighted,0.8066312952769688,5.091246679111109,-0.4928029156329263,226,0.5796460176991151
P5.1,baseline,eth,flat,xgboost,stateful,0.0420157668704874,-0.2769109493420392,-0.6648249520496545,140,0.5142857142857142
